"","sciname","genus","species","family","order"
"1","Wilsonia pusilla","Wilsonia","pusilla","Parulidae","Passeriformes"
"2","Tchagra cruenta","Tchagra","cruenta","Laniidae","Passeriformes"
"3","Tchagra australis","Tchagra","australis","Laniidae","Passeriformes"
"4","Colius colius","Colius","colius","Coliidae","Coliiformes"
"5","Phaethon rubricauda","Phaethon","rubricauda","Phaethontidae","Pelecaniformes"
"6","Sphyrapicus ruber","Sphyrapicus","ruber","Picidae","Piciformes"
"7","Eubucco bourcierii","Eubucco","bourcierii","Capitonidae","Piciformes"
"8","Mino anais","Mino","anais","Sturnidae","Passeriformes"
"9","Tchagra jamesi","Tchagra","jamesi","Laniidae","Passeriformes"
"10","Lanius ludovicianus","Lanius","ludovicianus","Laniidae","Passeriformes"
"11","Telophorus nigrifrons","Telophorus","nigrifrons","Laniidae","Passeriformes"
"12","Carduelis xanthogastra","Carduelis","xanthogastra","Fringillidae","Passeriformes"
"13","Carduelis tristis","Carduelis","tristis","Fringillidae","Passeriformes"
"14","Calocitta colliei","Calocitta","colliei","Corvidae","Passeriformes"
"15","Capito maculicoronatus","Capito","maculicoronatus","Capitonidae","Piciformes"
"16","Laniarius luhderi","Laniarius","luhderi","Laniidae","Passeriformes"
"17","Telophorus bocagei","Telophorus","bocagei","Laniidae","Passeriformes"
"18","Lanius excubitor","Lanius","excubitor","Laniidae","Passeriformes"
"19","Lanius collaris","Lanius","collaris","Laniidae","Passeriformes"
"20","Laniarius funebris","Laniarius","funebris","Laniidae","Passeriformes"
"21","Dryoscopus gambensis","Dryoscopus","gambensis","Laniidae","Passeriformes"
"22","Megalaima lineata","Megalaima","lineata","Capitonidae","Piciformes"
"23","Tchagra senegala","Tchagra","senegala","Laniidae","Passeriformes"
"24","Carduelis psaltria","Carduelis","psaltria","Fringillidae","Passeriformes"
"25","Tchagra minuta","Tchagra","minuta","Laniidae","Passeriformes"
"26","Phalacrocorax brasilianus","Phalacrocorax","brasilianus","Phalacrocoracidae","Pelecaniformes"
"27","Phaethon lepturus","Phaethon","lepturus","Phaethontidae","Pelecaniformes"
"28","Picus viridis","Picus","viridis","Picidae","Piciformes"
"29","Lanius collurio","Lanius","collurio","Laniidae","Passeriformes"
"30","Sula sula","Sula","sula","Sulidae","Pelecaniformes"
"31","Tchagra tchagra","Tchagra","tchagra","Laniidae","Passeriformes"
"32","Megalaima virens","Megalaima","virens","Capitonidae","Piciformes"
"33","Prionops scopifrons","Prionops","scopifrons","Laniidae","Passeriformes"
"34","Capito niger","Capito","niger","Capitonidae","Piciformes"
"35","Sula dactylatra","Sula","dactylatra","Sulidae","Pelecaniformes"
"36","Phaethon aethereus","Phaethon","aethereus","Phaethontidae","Pelecaniformes"
"37","Prionops caniceps","Prionops","caniceps","Laniidae","Passeriformes"
"38","Lanius cristatus","Lanius","cristatus","Laniidae","Passeriformes"
"39","Malaconotus blanchoti","Malaconotus","blanchoti","Laniidae","Passeriformes"
"40","Picoides villosus","Picoides","villosus","Picidae","Piciformes"
"41","Laniarius ferrugineus","Laniarius","ferrugineus","Laniidae","Passeriformes"
"42","Agelaius phoeniceus","Agelaius","phoeniceus","Icteridae","Passeriformes"
"43","Laniarius fulleborni","Laniarius","fulleborni","Laniidae","Passeriformes"
"44","Corvinella melanoleuca","Corvinella","melanoleuca","Laniidae","Passeriformes"
"45","Sula nebouxii","Sula","nebouxii","Sulidae","Pelecaniformes"
"46","Nilaus afer","Nilaus","afer","Laniidae","Passeriformes"
"47","Porphyrio poliocephalus","Porphyrio","poliocephalus","Rallidae","Gruiformes"
"48","Sula leucogaster","Sula","leucogaster","Sulidae","Pelecaniformes"
"49","Synallaxis rutilans","Synallaxis","rutilans","Furnariidae","Passeriformes"
"50","Synallaxis stictothorax","Synallaxis","stictothorax","Furnariidae","Passeriformes"
"51","Synallaxis unirufa","Synallaxis","unirufa","Furnariidae","Passeriformes"
"52","Thripophaga flammulata","Thripophaga","flammulata","Furnariidae","Passeriformes"
"53","Thripophaga pyrrholeuca","Thripophaga","pyrrholeuca","Furnariidae","Passeriformes"
"54","Thripophaga wyatti","Thripophaga","wyatti","Furnariidae","Passeriformes"
"55","Upucerthia dumetaria","Upucerthia","dumetaria","Furnariidae","Passeriformes"
"56","Margarornis brunnescens","Margarornis","brunnescens","Furnariidae","Passeriformes"
"57","Margarornis rubiginosus","Margarornis","rubiginosus","Furnariidae","Passeriformes"
"58","Margarornis squamiger","Margarornis","squamiger","Furnariidae","Passeriformes"
"59","Automolus ochrolaemus","Automolus","ochrolaemus","Furnariidae","Passeriformes"
"60","Automolus rubiginosus","Automolus","rubiginosus","Furnariidae","Passeriformes"
"61","Automolus infuscatus","Automolus","infuscatus","Furnariidae","Passeriformes"
"62","Automolus leucophthalmus","Automolus","leucophthalmus","Furnariidae","Passeriformes"
"63","Carduelis pinus","Carduelis","pinus","Fringillidae","Passeriformes"
"64","Prionops plumata","Prionops","plumata","Laniidae","Passeriformes"
"65","Philydor rufosuperciliatus","Philydor","rufosuperciliatus","Furnariidae","Passeriformes"
"66","Anas falcata","Anas","falcata","Anatidae","Anseriformes"
"67","Euphonia xanthogaster","Euphonia","xanthogaster","Emberizidae","Passeriformes"
"68","Coryphospingus cucullatus","Coryphospingus","cucullatus","Emberizidae","Passeriformes"
"69","Coryphospingus pileatus","Coryphospingus","pileatus","Emberizidae","Passeriformes"
"70","Hemispingus atropileus","Hemispingus","atropileus","Emberizidae","Passeriformes"
"71","Hemispingus frontalis","Hemispingus","frontalis","Emberizidae","Passeriformes"
"72","Hemispingus melanotis","Hemispingus","melanotis","Emberizidae","Passeriformes"
"73","Hemispingus superciliaris","Hemispingus","superciliaris","Emberizidae","Passeriformes"
"74","Coryphaspiza melanotis","Coryphaspiza","melanotis","Emberizidae","Passeriformes"
"75","Eucometis penicillata","Eucometis","penicillata","Emberizidae","Passeriformes"
"76","Cyanerpes caeruleus","Cyanerpes","caeruleus","Emberizidae","Passeriformes"
"77","Cyanerpes cyaneus","Cyanerpes","cyaneus","Emberizidae","Passeriformes"
"78","Crinifer piscator","Crinifer","piscator","Musophagidae","Cuculiformes"
"79","Spermophaga ruficapilla","Spermophaga","ruficapilla","Estrildidae","Passeriformes"
"80","Pyrenestes ostrinus","Pyrenestes","ostrinus","Estrildidae","Passeriformes"
"81","Pyrenestes sanguineus","Pyrenestes","sanguineus","Estrildidae","Passeriformes"
"82","Uraeginthus granatina","Uraeginthus","granatina","Estrildidae","Passeriformes"
"83","Uraeginthus bengalus","Uraeginthus","bengalus","Estrildidae","Passeriformes"
"84","Uraeginthus angolensis","Uraeginthus","angolensis","Estrildidae","Passeriformes"
"85","Uraeginthus ianthinogaster","Uraeginthus","ianthinogaster","Estrildidae","Passeriformes"
"86","Tyranniscus vilissimus","Tyranniscus","vilissimus","Tyrannidae","Passeriformes"
"87","Tyranniscus viridiflavus","Tyranniscus","viridiflavus","Tyrannidae","Passeriformes"
"88","Tolmomyias assimilis","Tolmomyias","assimilis","Tyrannidae","Passeriformes"
"89","Tolmomyias flaviventris","Tolmomyias","flaviventris","Tyrannidae","Passeriformes"
"90","Tolmomyias sulphurescens","Tolmomyias","sulphurescens","Tyrannidae","Passeriformes"
"91","Tolmomyias poliocephalus","Tolmomyias","poliocephalus","Tyrannidae","Passeriformes"
"92","Terenotriccus erythrurus","Terenotriccus","erythrurus","Tyrannidae","Passeriformes"
"93","Tachuris rubrigastra","Tachuris","rubrigastra","Tyrannidae","Passeriformes"
"94","Suiriri suiriri","Suiriri","suiriri","Tyrannidae","Passeriformes"
"95","Sublegatus arenarum","Sublegatus","arenarum","Tyrannidae","Passeriformes"
"96","Sublegatus modestus","Sublegatus","modestus","Tyrannidae","Passeriformes"
"97","Stigmatura budytoides","Stigmatura","budytoides","Tyrannidae","Passeriformes"
"98","Sirystes sibilator","Sirystes","sibilator","Tyrannidae","Passeriformes"
"99","Sayornis nigricans","Sayornis","nigricans","Tyrannidae","Passeriformes"
"100","Sayornis saya","Sayornis","saya","Tyrannidae","Passeriformes"
"101","Rhytipterna holerythra","Rhytipterna","holerythra","Tyrannidae","Passeriformes"
"102","Rhytipterna simplex","Rhytipterna","simplex","Tyrannidae","Passeriformes"
"103","Rhynchocyclus brevirostris","Rhynchocyclus","brevirostris","Tyrannidae","Passeriformes"
"104","Rhynchocyclus olivaceus","Rhynchocyclus","olivaceus","Tyrannidae","Passeriformes"
"105","Ramphotrigon megacephala","Ramphotrigon","megacephala","Tyrannidae","Passeriformes"
"106","Cnemotriccus fuscatus","Cnemotriccus","fuscatus","Tyrannidae","Passeriformes"
"107","Empidonomus aurantioatrocristatus","Empidonomus","aurantioatrocristatus","Tyrannidae","Passeriformes"
"108","Empidonomus varius","Empidonomus","varius","Tyrannidae","Passeriformes"
"109","Empidonax difficilis","Empidonax","difficilis","Tyrannidae","Passeriformes"
"110","Charmosyna pulchella","Charmosyna","pulchella","Loriidae","Psittaciformes"
"111","Junco hyemalis","Junco","hyemalis","Emberizidae","Passeriformes"
"112","Empidonax traillii","Empidonax","traillii","Tyrannidae","Passeriformes"
"113","Empidonax flavescens","Empidonax","flavescens","Tyrannidae","Passeriformes"
"114","Empidonax fulvifrons","Empidonax","fulvifrons","Tyrannidae","Passeriformes"
"115","Myiopagis leucospodia","Myiopagis","leucospodia","Tyrannidae","Passeriformes"
"116","Myiopagis caniceps","Myiopagis","caniceps","Tyrannidae","Passeriformes"
"117","Myiopagis gaimardii","Myiopagis","gaimardii","Tyrannidae","Passeriformes"
"118","Myiopagis viridicata","Myiopagis","viridicata","Tyrannidae","Passeriformes"
"119","Conopias parva","Conopias","parva","Tyrannidae","Passeriformes"
"120","Conopias trivirgata","Conopias","trivirgata","Tyrannidae","Passeriformes"
"121","Fluvicola pica","Fluvicola","pica","Tyrannidae","Passeriformes"
"122","Fluvicola nengeta","Fluvicola","nengeta","Tyrannidae","Passeriformes"
"123","Elaenia gaimardii","Elaenia","gaimardii","Tyrannidae","Passeriformes"
"124","Elaenia sp","Elaenia","sp","Tyrannidae","Passeriformes"
"125","Elaenia albiceps","Elaenia","albiceps","Tyrannidae","Passeriformes"
"126","Elaenia chiriquensis","Elaenia","chiriquensis","Tyrannidae","Passeriformes"
"127","Elaenia flavogaster","Elaenia","flavogaster","Tyrannidae","Passeriformes"
"128","Elaenia frantzii","Elaenia","frantzii","Tyrannidae","Passeriformes"
"129","Elaenia martinica","Elaenia","martinica","Tyrannidae","Passeriformes"
"130","Elaenia cristata","Elaenia","cristata","Tyrannidae","Passeriformes"
"131","Elaenia obscura","Elaenia","obscura","Tyrannidae","Passeriformes"
"132","Capsiempis flaveola","Capsiempis","flaveola","Tyrannidae","Passeriformes"
"133","Camptostoma imberbe","Camptostoma","imberbe","Tyrannidae","Passeriformes"
"134","Camptostoma obsoletum","Camptostoma","obsoletum","Tyrannidae","Passeriformes"
"135","Attila spadiceus","Attila","spadiceus","Tyrannidae","Passeriformes"
"136","Pica pica","Pica","pica","Corvidae","Passeriformes"
"137","Carduelis magellanica","Carduelis","magellanica","Fringillidae","Passeriformes"
"138","Basilornis celebensis","Basilornis","celebensis","Sturnidae","Passeriformes"
"139","Saltator coerulescens","Saltator","coerulescens","Emberizidae","Passeriformes"
"140","Saltator maximus","Saltator","maximus","Emberizidae","Passeriformes"
"141","Saltator similis","Saltator","similis","Emberizidae","Passeriformes"
"142","Ramphocelus bresilius","Ramphocelus","bresilius","Emberizidae","Passeriformes"
"143","Ramphocelus carbo","Ramphocelus","carbo","Emberizidae","Passeriformes"
"144","Ramphocelus dimidiatus","Ramphocelus","dimidiatus","Emberizidae","Passeriformes"
"145","Ramphocelus flammigerus","Ramphocelus","flammigerus","Emberizidae","Passeriformes"
"146","Ramphocelus passerinii","Ramphocelus","passerinii","Emberizidae","Passeriformes"
"147","Ramphocelus sanguinolentus","Ramphocelus","sanguinolentus","Emberizidae","Passeriformes"
"148","Poospiza cinerea","Poospiza","cinerea","Emberizidae","Passeriformes"
"149","Poospiza lateralis","Poospiza","lateralis","Emberizidae","Passeriformes"
"150","Poospiza torquata","Poospiza","torquata","Emberizidae","Passeriformes"
"151","Pooecetes gramineus","Pooecetes","gramineus","Emberizidae","Passeriformes"
"152","Tachyphonus cristatus","Tachyphonus","cristatus","Emberizidae","Passeriformes"
"153","Serinus burtoni","Serinus","burtoni","Fringillidae","Passeriformes"
"154","Serinus capistratus","Serinus","capistratus","Fringillidae","Passeriformes"
"155","Serinus citrinella","Serinus","citrinella","Fringillidae","Passeriformes"
"156","Serinus citrinelloides","Serinus","citrinelloides","Fringillidae","Passeriformes"
"157","Serinus flaviventris","Serinus","flaviventris","Fringillidae","Passeriformes"
"158","Serinus frontalis","Serinus","frontalis","Fringillidae","Passeriformes"
"159","Serinus gularis","Serinus","gularis","Fringillidae","Passeriformes"
"160","Serinus leucopygius","Serinus","leucopygius","Fringillidae","Passeriformes"
"161","Serinus striolatus","Serinus","striolatus","Fringillidae","Passeriformes"
"162","Serinus mozambicus","Serinus","mozambicus","Fringillidae","Passeriformes"
"163","Acanthis flammea","Acanthis","flammea","Fringillidae","Passeriformes"
"164","Acanthis cannabina","Acanthis","cannabina","Fringillidae","Passeriformes"
"165","Acanthis flavirostris","Acanthis","flavirostris","Fringillidae","Passeriformes"
"166","Acanthis hornemanni","Acanthis","hornemanni","Fringillidae","Passeriformes"
"167","Carduelis chloris","Carduelis","chloris","Fringillidae","Passeriformes"
"168","Progne subis","Progne","subis","Hirundinidae","Passeriformes"
"169","Progne chalybea","Progne","chalybea","Hirundinidae","Passeriformes"
"170","Progne tapera","Progne","tapera","Hirundinidae","Passeriformes"
"171","Progne modesta","Progne","modesta","Hirundinidae","Passeriformes"
"172","Neochelidon tibialis","Neochelidon","tibialis","Hirundinidae","Passeriformes"
"173","Hirundo rustica","Hirundo","rustica","Hirundinidae","Passeriformes"
"174","Ptilinopus ornatus","Ptilinopus","ornatus","Columbidae","Columbiformes"
"175","Lonchura cucullata","Lonchura","cucullata","Estrildidae","Passeriformes"
"176","Lonchura sp","Lonchura","sp","Estrildidae","Passeriformes"
"177","Lonchura punctulata","Lonchura","punctulata","Estrildidae","Passeriformes"
"178","Lonchura malacca","Lonchura","malacca","Estrildidae","Passeriformes"
"179","Lonchura malabarica","Lonchura","malabarica","Estrildidae","Passeriformes"
"180","Lonchura bicolor","Lonchura","bicolor","Estrildidae","Passeriformes"
"181","Lonchura caniceps","Lonchura","caniceps","Estrildidae","Passeriformes"
"182","Lonchura castaneothorax","Lonchura","castaneothorax","Estrildidae","Passeriformes"
"183","Lonchura striata","Lonchura","striata","Estrildidae","Passeriformes"
"184","Poephila bichenovii","Poephila","bichenovii","Estrildidae","Passeriformes"
"185","Poephila guttata","Poephila","guttata","Estrildidae","Passeriformes"
"186","Poephila acuticauda","Poephila","acuticauda","Estrildidae","Passeriformes"
"187","Poephila cincta","Poephila","cincta","Estrildidae","Passeriformes"
"188","Icterus gularis","Icterus","gularis","Icteridae","Passeriformes"
"189","Icterus icterus","Icterus","icterus","Icteridae","Passeriformes"
"190","Icterus mesomelas","Icterus","mesomelas","Icteridae","Passeriformes"
"191","Icterus pectoralis","Icterus","pectoralis","Icteridae","Passeriformes"
"192","Icterus wagleri","Icterus","wagleri","Icteridae","Passeriformes"
"193","Icterus cayanensis","Icterus","cayanensis","Icteridae","Passeriformes"
"194","Icterus nigrogularis","Icterus","nigrogularis","Icteridae","Passeriformes"
"195","Macronyx capensis","Macronyx","capensis","Motacillidae","Passeriformes"
"196","Motacilla alba","Motacilla","alba","Motacillidae","Passeriformes"
"197","Motacilla cinerea","Motacilla","cinerea","Motacillidae","Passeriformes"
"198","Motacilla aguimp","Motacilla","aguimp","Motacillidae","Passeriformes"
"199","Motacilla capensis","Motacilla","capensis","Motacillidae","Passeriformes"
"200","Motacilla clara","Motacilla","clara","Motacillidae","Passeriformes"
"201","Motacilla flava","Motacilla","flava","Motacillidae","Passeriformes"
"202","Cossypha niveicapilla","Cossypha","niveicapilla","Muscicapidae","Passeriformes"
"203","Anthus rubescens","Anthus","rubescens","Motacillidae","Passeriformes"
"204","Calidris mauri","Calidris","mauri","Scolopacidae","Charadriiformes"
"205","Estrilda astrild","Estrilda","astrild","Estrildidae","Passeriformes"
"206","Estrilda melpoda","Estrilda","melpoda","Estrildidae","Passeriformes"
"207","Estrilda atricapilla","Estrilda","atricapilla","Estrildidae","Passeriformes"
"208","Estrilda charmosyna","Estrilda","charmosyna","Estrildidae","Passeriformes"
"209","Estrilda nonnula","Estrilda","nonnula","Estrildidae","Passeriformes"
"210","Estrilda paludicola","Estrilda","paludicola","Estrildidae","Passeriformes"
"211","Estrilda perreini","Estrilda","perreini","Estrildidae","Passeriformes"
"212","Estrilda rhodopyga","Estrilda","rhodopyga","Estrildidae","Passeriformes"
"213","Euschistospiza cinereovinacea","Euschistospiza","cinereovinacea","Estrildidae","Passeriformes"
"214","Hypargos niveoguttatus","Hypargos","niveoguttatus","Estrildidae","Passeriformes"
"215","Amandava amandava","Amandava","amandava","Estrildidae","Passeriformes"
"216","Amandava subflava","Amandava","subflava","Estrildidae","Passeriformes"
"217","Aegithina tiphia","Aegithina","tiphia","Irenidae","Passeriformes"
"218","Chloropsis hardwickei","Chloropsis","hardwickei","Irenidae","Passeriformes"
"219","Chloropsis aurifrons","Chloropsis","aurifrons","Irenidae","Passeriformes"
"220","Irena cyanogaster","Irena","cyanogaster","Irenidae","Passeriformes"
"221","Irena puella","Irena","puella","Irenidae","Passeriformes"
"222","Corythopis torquata","Corythopis","torquata","Conopophagidae","Passeriformes"
"223","Conopophaga aurita","Conopophaga","aurita","Conopophagidae","Passeriformes"
"224","Conopophaga lineata","Conopophaga","lineata","Conopophagidae","Passeriformes"
"225","Tachycineta thalassina","Tachycineta","thalassina","Hirundinidae","Passeriformes"
"226","Melospiza melodia","Melospiza","melodia","Emberizidae","Passeriformes"
"227","Phoenicopterus ruber","Phoenicopterus","ruber","Phoenicopteridae","Ciconiiformes"
"228","Passerella iliaca","Passerella","iliaca","Emberizidae","Passeriformes"
"229","Balearica pavonina","Balearica","pavonina","Gruidae","Gruiformes"
"230","Calyptomena viridis","Calyptomena","viridis","Eurylaimidae","Passeriformes"
"231","Sporophila bouvreuil","Sporophila","bouvreuil","Emberizidae","Passeriformes"
"232","Sporophila caerulescens","Sporophila","caerulescens","Emberizidae","Passeriformes"
"233","Sporophila intermedia","Sporophila","intermedia","Emberizidae","Passeriformes"
"234","Pheucticus melanocephalus","Pheucticus","melanocephalus","Emberizidae","Passeriformes"
"235","Passerina brissonii","Passerina","brissonii","Emberizidae","Passeriformes"
"236","Passerina cyanoides","Passerina","cyanoides","Emberizidae","Passeriformes"
"237","Passerina leclancherii","Passerina","leclancherii","Emberizidae","Passeriformes"
"238","Passerina parellina","Passerina","parellina","Emberizidae","Passeriformes"
"239","Trugon terrestris","Trugon","terrestris","Columbidae","Columbiformes"
"240","Passerina caerulea","Passerina","caerulea","Emberizidae","Passeriformes"
"241","Passerina ciris","Passerina","ciris","Emberizidae","Passeriformes"
"242","Passerina versicolor","Passerina","versicolor","Emberizidae","Passeriformes"
"243","Melozone leucotis","Melozone","leucotis","Emberizidae","Passeriformes"
"244","Paroaria capitata","Paroaria","capitata","Emberizidae","Passeriformes"
"245","Paroaria gularis","Paroaria","gularis","Emberizidae","Passeriformes"
"246","Oryzoborus angolensis","Oryzoborus","angolensis","Emberizidae","Passeriformes"
"247","Oryzoborus crassirostris","Oryzoborus","crassirostris","Emberizidae","Passeriformes"
"248","Nemosia pileata","Nemosia","pileata","Emberizidae","Passeriformes"
"249","Mitrospingus cassinii","Mitrospingus","cassinii","Emberizidae","Passeriformes"
"250","Piranga bidentata","Piranga","bidentata","Emberizidae","Passeriformes"
"251","Piranga leucoptera","Piranga","leucoptera","Emberizidae","Passeriformes"
"252","Piranga flava","Piranga","flava","Emberizidae","Passeriformes"
"253","Piranga rubra","Piranga","rubra","Emberizidae","Passeriformes"
"254","Melospiza georgiana","Melospiza","georgiana","Emberizidae","Passeriformes"
"255","Melospiza lincolnii","Melospiza","lincolnii","Emberizidae","Passeriformes"
"256","Goura cristata","Goura","cristata","Columbidae","Columbiformes"
"257","Sturnella neglecta","Sturnella","neglecta","Icteridae","Passeriformes"
"258","Thryomanes bewickii","Thryomanes","bewickii","Troglodytidae","Passeriformes"
"259","Pluvialis squatarola","Pluvialis","squatarola","Charadriidae","Charadriiformes"
"260","Larus glaucescens","Larus","glaucescens","Laridae","Charadriiformes"
"261","Phalacrocorax penicillatus","Phalacrocorax","penicillatus","Phalacrocoracidae","Pelecaniformes"
"262","Plegadis chihi","Plegadis","chihi","Threskiornithidae","Ciconiiformes"
"263","Dendroica townsendi","Dendroica","townsendi","Parulidae","Passeriformes"
"264","Sittasomus griseicapillus","Sittasomus","griseicapillus","Dendrocolaptidae","Passeriformes"
"265","Xiphorhynchus elegans","Xiphorhynchus","elegans","Dendrocolaptidae","Passeriformes"
"266","Xiphorhynchus erythropygius","Xiphorhynchus","erythropygius","Dendrocolaptidae","Passeriformes"
"267","Xiphorhynchus flavigaster","Xiphorhynchus","flavigaster","Dendrocolaptidae","Passeriformes"
"268","Xiphorhynchus guttatus","Xiphorhynchus","guttatus","Dendrocolaptidae","Passeriformes"
"269","Xiphorhynchus lachrymosus","Xiphorhynchus","lachrymosus","Dendrocolaptidae","Passeriformes"
"270","Xiphorhynchus obsoletus","Xiphorhynchus","obsoletus","Dendrocolaptidae","Passeriformes"
"271","Xiphorhynchus pardalotus","Xiphorhynchus","pardalotus","Dendrocolaptidae","Passeriformes"
"272","Xiphorhynchus picus","Xiphorhynchus","picus","Dendrocolaptidae","Passeriformes"
"273","Xiphorhynchus spixii","Xiphorhynchus","spixii","Dendrocolaptidae","Passeriformes"
"274","Xiphorhynchus triangularis","Xiphorhynchus","triangularis","Dendrocolaptidae","Passeriformes"
"275","Lepidocolaptes affinis","Lepidocolaptes","affinis","Dendrocolaptidae","Passeriformes"
"276","Lepidocolaptes albolineatus","Lepidocolaptes","albolineatus","Dendrocolaptidae","Passeriformes"
"277","Lepidocolaptes angustirostris","Lepidocolaptes","angustirostris","Dendrocolaptidae","Passeriformes"
"278","Lepidocolaptes fuscus","Lepidocolaptes","fuscus","Dendrocolaptidae","Passeriformes"
"279","Lepidocolaptes leucogaster","Lepidocolaptes","leucogaster","Dendrocolaptidae","Passeriformes"
"280","Lepidocolaptes souleyetii","Lepidocolaptes","souleyetii","Dendrocolaptidae","Passeriformes"
"281","Lepidocolaptes squamatus","Lepidocolaptes","squamatus","Dendrocolaptidae","Passeriformes"
"282","Hylexetastes perrotii","Hylexetastes","perrotii","Dendrocolaptidae","Passeriformes"
"283","Dendrocolaptes certhia","Dendrocolaptes","certhia","Dendrocolaptidae","Passeriformes"
"284","Dendrocolaptes picumnus","Dendrocolaptes","picumnus","Dendrocolaptidae","Passeriformes"
"285","Dendrocolaptes platyrostris","Dendrocolaptes","platyrostris","Dendrocolaptidae","Passeriformes"
"286","Dendrocincla fuliginosa","Dendrocincla","fuliginosa","Dendrocolaptidae","Passeriformes"
"287","Dendrocincla homochroa","Dendrocincla","homochroa","Dendrocolaptidae","Passeriformes"
"288","Dendrocincla merula","Dendrocincla","merula","Dendrocolaptidae","Passeriformes"
"289","Dendrocincla tyrannina","Dendrocincla","tyrannina","Dendrocolaptidae","Passeriformes"
"290","Dendrexetastes rufigula","Dendrexetastes","rufigula","Dendrocolaptidae","Passeriformes"
"291","Campylorhamphus procurvoides","Campylorhamphus","procurvoides","Dendrocolaptidae","Passeriformes"
"292","Campylorhamphus pusillus","Campylorhamphus","pusillus","Dendrocolaptidae","Passeriformes"
"293","Dicaeum hirundinaceum","Dicaeum","hirundinaceum","Dicaeidae","Passeriformes"
"294","Cacicus cela","Cacicus","cela","Icteridae","Passeriformes"
"295","Cacicus holosericeus","Cacicus","holosericeus","Icteridae","Passeriformes"
"296","Cacicus uropygialis","Cacicus","uropygialis","Icteridae","Passeriformes"
"297","Cacicus haemorrhous","Cacicus","haemorrhous","Icteridae","Passeriformes"
"298","Cacicus leucoramphus","Cacicus","leucoramphus","Icteridae","Passeriformes"
"299","Icterus bullockii","Icterus","bullockii","Icteridae","Passeriformes"
"300","Serinus sulphuratus","Serinus","sulphuratus","Fringillidae","Passeriformes"
"301","Philydor subulatus","Philydor","subulatus","Furnariidae","Passeriformes"
"302","Philydor variegaticeps","Philydor","variegaticeps","Furnariidae","Passeriformes"
"303","Phacellodomus erythrophthalmus","Phacellodomus","erythrophthalmus","Furnariidae","Passeriformes"
"304","Phacellodomus rufifrons","Phacellodomus","rufifrons","Furnariidae","Passeriformes"
"305","Aphrastura spinicauda","Aphrastura","spinicauda","Furnariidae","Passeriformes"
"306","Certhiaxis cinnamomea","Certhiaxis","cinnamomea","Furnariidae","Passeriformes"
"307","Certhiaxis erythrops","Certhiaxis","erythrops","Furnariidae","Passeriformes"
"308","Certhiaxis gutturata","Certhiaxis","gutturata","Furnariidae","Passeriformes"
"309","Certhiaxis pyrrhophia","Certhiaxis","pyrrhophia","Furnariidae","Passeriformes"
"310","Certhiaxis vulpina","Certhiaxis","vulpina","Furnariidae","Passeriformes"
"311","Serinus canicollis","Serinus","canicollis","Fringillidae","Passeriformes"
"312","Mimus gilvus","Mimus","gilvus","Mimidae","Passeriformes"
"313","Mimus polyglottos","Mimus","polyglottos","Mimidae","Passeriformes"
"314","Mimus longicaudatus","Mimus","longicaudatus","Mimidae","Passeriformes"
"315","Mimus saturninus","Mimus","saturninus","Mimidae","Passeriformes"
"316","Zonotrichia leucophrys","Zonotrichia","leucophrys","Emberizidae","Passeriformes"
"317","Toxostoma dorsale","Toxostoma","dorsale","Mimidae","Passeriformes"
"318","Toxostoma sp","Toxostoma","sp","Mimidae","Passeriformes"
"319","Toxostoma bendirei","Toxostoma","bendirei","Mimidae","Passeriformes"
"320","Toxostoma lecontei","Toxostoma","lecontei","Mimidae","Passeriformes"
"321","Gallicolumba rufigula","Gallicolumba","rufigula","Columbidae","Columbiformes"
"322","Rallus limicola","Rallus","limicola","Rallidae","Gruiformes"
"323","Toxostoma redivivum","Toxostoma","redivivum","Mimidae","Passeriformes"
"324","Gnorimopsar chopi","Gnorimopsar","chopi","Icteridae","Passeriformes"
"325","Dives dives","Dives","dives","Icteridae","Passeriformes"
"326","Curaeus curaeus","Curaeus","curaeus","Icteridae","Passeriformes"
"327","Zosterops senegalensis","Zosterops","senegalensis","Zosteropidae","Passeriformes"
"328","Prunella modularis","Prunella","modularis","Prunellidae","Passeriformes"
"329","Taraba major","Taraba","major","Formicariidae","Passeriformes"
"330","Pittasoma rufopileatum","Pittasoma","rufopileatum","Formicariidae","Passeriformes"
"331","Myrmorchilus strigilatus","Myrmorchilus","strigilatus","Formicariidae","Passeriformes"
"332","Myrmornis torquata","Myrmornis","torquata","Formicariidae","Passeriformes"
"333","Myrmothera campanisoma","Myrmothera","campanisoma","Formicariidae","Passeriformes"
"334","Myrmoborus leucophrys","Myrmoborus","leucophrys","Formicariidae","Passeriformes"
"335","Myrmoborus myotherinus","Myrmoborus","myotherinus","Formicariidae","Passeriformes"
"336","Phaenostictus mcleannani","Phaenostictus","mcleannani","Formicariidae","Passeriformes"
"337","Phlegopsis nigromaculata","Phlegopsis","nigromaculata","Formicariidae","Passeriformes"
"338","Pithys albifrons","Pithys","albifrons","Formicariidae","Passeriformes"
"339","Pygiptila stellaris","Pygiptila","stellaris","Formicariidae","Passeriformes"
"340","Pyriglena leuconota","Pyriglena","leuconota","Formicariidae","Passeriformes"
"341","Rhegmatorhina melanosticta","Rhegmatorhina","melanosticta","Formicariidae","Passeriformes"
"342","Sakesphorus canadensis","Sakesphorus","canadensis","Formicariidae","Passeriformes"
